Search_method Problem Max_evals Run Score
hc_cliff_score knapPI_11_20_1000_4 20000 0 0
hc_cliff_score knapPI_11_20_1000_4 20000 1 0
hc_cliff_score knapPI_11_20_1000_4 20000 2 0
hc_cliff_score knapPI_11_20_1000_4 20000 3 1320
hc_cliff_score knapPI_11_20_1000_4 20000 4 0
hc_cliff_score knapPI_11_20_1000_4 20000 5 0
hc_cliff_score knapPI_11_20_1000_4 20000 6 1320
hc_cliff_score knapPI_11_20_1000_4 20000 7 1320
hc_cliff_score knapPI_11_20_1000_4 20000 8 0
hc_cliff_score knapPI_11_20_1000_4 20000 9 0
hc_cliff_score knapPI_11_20_1000_4 20000 10 0
hc_cliff_score knapPI_11_20_1000_4 20000 11 0
hc_cliff_score knapPI_11_20_1000_4 20000 12 0
hc_cliff_score knapPI_11_20_1000_4 20000 13 0
hc_cliff_score knapPI_11_20_1000_4 20000 14 1320
hc_cliff_score knapPI_11_20_1000_4 20000 15 0
hc_cliff_score knapPI_11_20_1000_4 20000 16 1400
hc_cliff_score knapPI_11_20_1000_4 20000 17 0
hc_cliff_score knapPI_11_20_1000_4 20000 18 1320
hc_cliff_score knapPI_11_20_1000_4 20000 19 0
hc_cliff_score knapPI_11_20_1000_4 20000 20 0
hc_cliff_score knapPI_11_20_1000_4 20000 21 0
hc_cliff_score knapPI_11_20_1000_4 20000 22 0
hc_cliff_score knapPI_11_20_1000_4 20000 23 0
hc_cliff_score knapPI_11_20_1000_4 20000 24 1400
hc_cliff_score knapPI_11_20_1000_4 20000 25 0
hc_cliff_score knapPI_11_20_1000_4 20000 26 1320
hc_cliff_score knapPI_11_20_1000_4 20000 27 1320
hc_cliff_score knapPI_11_20_1000_4 20000 28 0
hc_cliff_score knapPI_11_20_1000_4 20000 29 0
hc_cliff_score knapPI_11_20_1000_4 20000 30 0
hc_cliff_score knapPI_11_20_1000_4 20000 31 0
hc_cliff_score knapPI_11_20_1000_4 20000 32 1320
hc_cliff_score knapPI_11_20_1000_4 20000 33 0
hc_cliff_score knapPI_11_20_1000_4 20000 34 0
hc_cliff_score knapPI_11_20_1000_4 20000 35 0
